ticker;name;category;currency
HUFV-A.ST;Hufvudstaden AB (publ);stock;SEK
PEAB-B.ST;Peab AB (publ);stock;SEK
ARJO-B.ST;Arjo AB (publ);stock;SEK
BURE.ST;Bure Equity AB (publ);stock;SEK
BRAV.ST;Bravida Holding AB (publ);stock;SEK
ATRLJ-B.ST;Atrium Ljungberg AB (publ);stock;SEK
KLED.ST;Kungsleden AB (publ);stock;SEK
PNDX-B.ST;Pandox AB (publ);stock;SEK
NOLA-B.ST;Nolato AB (publ);stock;SEK
FPAR-A.ST;FastPartner AB (publ);stock;SEK
FPAR-D.ST;FastPartner AB (publ);stock;SEK
NYF.ST;Nyfosa AB (publ);stock;SEK
MIPS.ST;MIPS AB (publ);stock;SEK
MYCR.ST;Mycronic AB (publ);stock;SEK
INSTAL.ST;Instalco AB (publ);stock;SEK
CATE.ST;Catena AB (publ);stock;SEK
JM.ST;JM AB (publ);stock;SEK
TROAX.ST;Troax Group AB (publ);stock;SEK
LOOMIS.ST;Loomis AB (publ);stock;SEK
HMS.ST;HMS Networks AB (publ);stock;SEK
SF.ST;Stillfront Group AB (publ);stock;SEK
PLAZ-B.ST;Platzer Fastigheter Holding AB (publ);stock;SEK
HEM.ST;Hemnet Group AB (publ);stock;SEK
EPRO-B.ST;Electrolux Professional AB (publ);stock;SEK
LIAB.ST;Lindab International AB (publ);stock;SEK
RATO-A.ST;Ratos AB (publ);stock;SEK
ARION-SDB.ST;Arion banki hf.;stock;SEK
RATO-B.ST;Ratos AB (publ);stock;SEK
SYSR.ST;Systemair AB (publ);stock;SEK
FOI-B.ST;Fenix Outdoor International AG;stock;SEK
LUG.ST;Lundin Gold Inc.;stock;SEK
BILI-A.ST;Bilia AB (publ);stock;SEK
BHG.ST;BHG Group AB (publ);stock;SEK
NCC-A.ST;NCC AB (publ);stock;SEK
KFAST-B.ST;K-Fast Holding AB (publ);stock;SEK
NCC-B.ST;NCC AB (publ);stock;SEK
SECARE.ST;Swedencare AB (publ);stock;SEK
PDX.ST;Paradox Interactive AB (publ);stock;SEK
BIOT.ST;Biotage AB (publ);stock;SEK
CINT.ST;Cint Group AB (publ);stock;SEK
VIT-B.ST;Vitec Software Group AB (publ);stock;SEK
OX2.ST;OX2 AB (publ);stock;SEK
SDIP-B.ST;Sdiptech AB (publ);stock;SEK
SDIP-PREF.ST;Sdiptech AB (publ);stock;SEK
SAS.ST;SAS AB (publ);stock;SEK
MTRS.ST;Munters Group AB (publ);stock;SEK
SUS.ST;Surgical Science Sweden AB (publ);stock;SEK
SKIS-B.ST;SkiStar AB (publ);stock;SEK
CRED-A.ST;Creades AB;stock;SEK
DIOS.ST;Diös Fastigheter AB (publ);stock;SEK
FPAR-PREF.ST;FastPartner AB (publ);stock;SEK
STORY-B.ST;Storytel AB (publ);stock;SEK
MTG-B.ST;Modern Times Group Mtg AB;stock;SEK
MTG-A.ST;Modern Times Group Mtg AB;stock;SEK
ANOD-B.ST;Addnode Group AB (publ);stock;SEK
BEIA-B.ST;Beijer Alma AB (publ);stock;SEK
BIOA-B.ST;BioArctic AB (publ);stock;SEK
BUFAB.ST;Bufab AB (publ);stock;SEK
GRNG.ST;Gränges AB (publ);stock;SEK
KARO.ST;Karo Pharma AB (publ);stock;SEK
XVIVO.ST;Xvivo Perfusion AB (publ);stock;SEK
VOLO.ST;Volati AB;stock;SEK
NP3.ST;NP3 Fastigheter AB (publ);stock;SEK
HEBA-B.ST;Heba Fastighets AB (publ);stock;SEK
NOBI.ST;Nobia AB (publ);stock;SEK
BETS-B.ST;Betsson AB;stock;SEK
CEVI.ST;CellaVision AB (publ);stock;SEK
NCAB.ST;NCAB Group AB (publ);stock;SEK
VNV.ST;VNV Global AB (publ);stock;SEK
BOOZT.ST;Boozt AB (publ);stock;SEK
MMGR-B.ST;Momentum Group AB (publ);stock;SEK
CAMX.ST;Camurus AB (publ);stock;SEK
ALM.ST;ALM Equity AB (publ);stock;SEK
ALM-PREF.ST;ALM Equity AB (publ);stock;SEK
RVRC.ST;RVRC Holding AB (publ);stock;SEK
PCELL.ST;PowerCell Sweden AB (publ);stock;SEK
XANO-B.ST;XANO Industri AB (publ);stock;SEK
SVOL-A.ST;Svolder AB (publ);stock;SEK
GARO.ST;Garo Aktiebolag (publ);stock;SEK
BIOG-B.ST;BioGaia AB (publ);stock;SEK
BONAV-A.ST;Bonava AB (publ);stock;SEK
BETCO.ST;Better Collective A/S;stock;SEK
BONAV-B.ST;Bonava AB (publ);stock;SEK
INWI.ST;Inwido AB (publ);stock;SEK
HTRO.ST;Hexatronic Group AB (publ);stock;SEK
FAG.ST;AB Fagerhult;stock;SEK
DUST.ST;Dustin Group AB (publ);stock;SEK
NEWA-B.ST;New Wave Group AB (publ);stock;SEK
MEKO.ST;Mekonomen AB (publ);stock;SEK
KNOW.ST;Knowit AB (publ);stock;SEK
RESURS.ST;Resurs Holding AB (publ);stock;SEK
TRIAN-B.ST;Fastighets AB Trianon (publ);stock;SEK
VESTUM.ST;Vestum AB (publ);stock;SEK
CIBUS.ST;Cibus Nordic Real Estate AB (publ);stock;SEK
M8G.ST;Media and Games Invest SE;stock;SEK
AMAST.ST;Amasten Fastighets AB (publ);stock;SEK
ACAD.ST;AcadeMedia AB (publ);stock;SEK
CLA-B.ST;Cloetta AB (publ);stock;SEK
BTS-B.ST;BTS Group AB (publ);stock;SEK
COOR.ST;Coor Service Management Holding AB;stock;SEK
FING-B.ST;Fingerprint Cards AB (publ);stock;SEK
SEDANA.ST;Sedana Medical AB (publ);stock;SEK
ADAPT.ST;Adapteo Oyj;stock;SEK
ALIG.ST;Alimak Group AB (publ);stock;SEK
COLL.ST;Collector AB (publ);stock;SEK
LAGR-B.ST;Lagercrantz Group AB (publ);stock;SEK
NMAN.ST;Nederman Holding AB (publ);stock;SEK
IVSO.ST;Invisio AB (publ);stock;SEK
FG.ST;Fasadgruppen Group AB (publ);stock;SEK
STEF-B.ST;Stendörren Fastigheter AB (publ);stock;SEK
SVOL-B.ST;Svolder AB (publ);stock;SEK
ORES.ST;Investment AB Öresund (publ);stock;SEK
KAMBI.ST;Kambi Group plc;stock;SEK
COIC.ST;Concentric AB (publ);stock;SEK
FIL.ST;Filo Mining Corp.;stock;SEK
NOBINA.ST;Nobina AB (publ);stock;SEK
RENEW.ST;Re:NewCell AB (publ);stock;SEK
ATT.ST;Attendo AB (publ);stock;SEK
SHOT.ST;Scandic Hotels Group AB (publ);stock;SEK
TOBII.ST;Tobii AB (publ);stock;SEK
K2A-B.ST;K2A Knaust & Andersson Fastigheter AB (publ);stock;SEK
DSNO.ST;Desenio Group AB (publ);stock;SEK
CLAS-B.ST;Clas Ohlson AB (publ);stock;SEK
NYTTO.ST;Svenska Nyttobostäder AB (publ);stock;SEK
JOMA.ST;John Mattson Fastighetsföretagen AB (publ);stock;SEK
ELAN-B.ST;Elanders AB (publ);stock;SEK
CS.ST;CoinShares International Limited;stock;SEK
AMBEA.ST;Ambea AB (publ);stock;SEK
ENQ.ST;EnQuest PLC;stock;SEK
AQ.ST;AQ Group AB (publ);stock;SEK
BACTI-B.ST;Bactiguard Holding AB (publ);stock;SEK
IPCO.ST;International Petroleum Corporation;stock;SEK
HNSA.ST;Hansa Biopharma AB (publ);stock;SEK
KAR.ST;Karnov Group AB (publ);stock;SEK
DUNI.ST;Duni AB (publ);stock;SEK
NANOFS.ST;Nanoform Finland Oyj;stock;SEK
AOI.ST;Africa Oil Corp.;stock;SEK
LINC.ST;Linc AB;stock;SEK
GPG.ST;Genova Property Group AB (publ);stock;SEK
PROB.ST;Probi AB (publ);stock;SEK
CALTX.ST;Calliditas Therapeutics AB (publ);stock;SEK
VBG-B.ST;VBG Group AB (publ);stock;SEK
NWG.ST;Nordic Waterproofing Holding AB (publ);stock;SEK
LIME.ST;Lime Technologies AB (publ);stock;SEK
BONEX.ST;Bonesupport Holding AB (publ);stock;SEK
HUMBLE.ST;Humble Group AB (publ);stock;SEK
GREEN.ST;Green Landscaping Group AB (publ);stock;SEK
ABSO.ST;Absolent Air Care Group AB (publ);stock;SEK
AEGIR.ST;AegirBio AB (publ);stock;SEK
ASPIRE.ST;Aspire Global plc;stock;SEK
EOLU-B.ST;Eolus Vind AB (publ);stock;SEK
ACAST.ST;Acast AB (publ);stock;SEK
VEFAB.ST;VEF AB (Publ);stock;SEK
MSON-B.ST;Midsona AB (publ);stock;SEK
MSON-A.ST;Midsona AB (publ);stock;SEK
BMAX.ST;Byggmax Group AB (publ);stock;SEK
BERG-B.ST;Bergman & Beving AB (publ);stock;SEK
QLINEA.ST;Q-linea AB (publ);stock;SEK
NP3-PREF.ST;NP3 Fastigheter AB (publ);stock;SEK
ENEA.ST;Enea AB (publ);stock;SEK
THUNDR.ST;Thunderful Group AB;stock;SEK
LYKO-A.ST;Lyko Group AB (publ);stock;SEK
BRIN-B.ST;Brinova Fastigheter AB (publ);stock;SEK
AZELIO.ST;Azelio AB (publ);stock;SEK
PEGRO-PREF.ST;Pegroco Invest AB (publ);stock;SEK
PRFO.ST;Profoto Holding AB (publ);stock;SEK
SEYE.ST;Smart Eye AB (publ);stock;SEK
TFBANK.ST;TF Bank AB (publ);stock;SEK
ONCO.ST;Oncopeptides AB (publ);stock;SEK
GENO.ST;Genovis AB (publ.);stock;SEK
IVACC.ST;Intervacc AB (publ);stock;SEK
LEO.ST;LeoVegas AB (publ);stock;SEK
ITAB.ST;ITAB Shop Concept AB (publ);stock;SEK
G5EN.ST;G5 Entertainment AB (publ);stock;SEK
SCST.ST;Scandi Standard AB (publ);stock;SEK
NOTE.ST;NOTE AB (publ);stock;SEK
EG7.ST;Enad Global 7 AB (publ);stock;SEK
TRAC-B.ST;AB Traction;stock;SEK
SIVE.ST;Sivers Semiconductors AB;stock;SEK
